"id","eventName","name","category","themeColor","themeColorIsDark","logoWs","url","distance","elevationGain","hasResults","uriResults","startDate","startCountry","startPlace","year","level","nbStones"
63993,"Vinninge Ultra 127","Vinninge Ultra 127","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://facebook.com/events/s/vinninge-ultratrail-127km/1102458130087585/?ti=as","128.00",1560,true,"25883.vinningeultra127vinningeultra127.2020","2020-May-01","SE","Vinninge, Sweden",2020,"qualifier",0
65591,"Mossarun","Mossarun 2020, 24h/100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.mossarun.com/","171.80",3940,false,"30033.mossarunmossarun2020-24h-100miles.2020","2020-Sep-19","SE","Lindås near Älmhult, Sweden",2020,"qualifier",0
66661,"Mossarun","Mossarun 2020, 24h/136km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","137.50",3150,true,"27161.mossarunmossarun2020-24h-136km.2020","2020-Sep-19","SE","Älmhult, Sweden",2020,"qualifier",0
65669,"Mossarun","Mossarun 2020, 24h/100k","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","103.10",2360,true,"30034.mossarunmossarun2020-24h-100k.2020","2020-Sep-19","SE","Älmhult, Sweden",2020,"qualifier",0
67064,"GotRun Winter Trail","""ENKLE"" 72 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://runraisers.com/","71.50",470,false,"27363.gotrunwintertrail-enkle-72km.2021","2021-Jan-30","SE","Ljugarn, Sweden",2021,"qualifier",0
67063,"GotRun Winter Trail","""DUBBLE"" 144 km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://runraisers.com/","144.20",940,false,"27362.gotrunwintertrail-dubble-144km.2021","2021-Jan-30","SE","Ljugarn, Sweden",2021,"qualifier",0
69232,"Storstenshöjden 100 miles","Storstenshöjden 50 miles","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://storstenshojden50milesoch100miles.wordpress.com/","84.10",5780,true,"32662.storstenshojden100milesstorstenshojden50miles.2021","2021-Feb-19","SE","Storstenshöjden, Sweden",2021,"qualifier",0
68501,"Storstenshöjden 100 miles","Storstenshöjden 100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://storstenshojden50milesoch100miles.wordpress.com/","168.40",11550,true,"32660.storstenshojden100milesstorstenshojden100miles.2021","2021-Feb-19","SE","Storstenshöjden, Sweden",2021,"qualifier",0
68099,"Kullamannen 2020 Covid-19","Sprint Ultra 100km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.kullamannen.com","98.10",970,false,"27785.kullamannen2020covid-19sprintultra100km.2021","2021-Mar-26","SE","Båstad, Sweden",2021,"qualifier",0
68098,"Kullamannen 2020 Covid-19","Kullamannen 100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.kullamannen.com","163.60",1910,true,"27784.kullamannen2020covid-19kullamannen100miles.2021","2021-Mar-26","SE","Örkelljunga, Sweden",2021,"qualifier",0
68125,"Kullamannen 2020 Covid-19","Sibirien 50km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.kullamannen.com","46.80",650,true,"27794.kullamannen2020covid-19sibirien50km.2021","2021-Mar-27","SE","Ängelholm, Sweden",2021,"qualifier",0
78328,"Skogs-Ultra Storstenshöjden SUS","Skogs-Ultra Storstenshöjden 50 miles","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://storstenshojden50milesoch100miles.wordpress.com/","84.00",5700,true,"28245.skogs-ultrastorstenshojdensusskogs-ultrastorstenshojden50miles.2021","2021-Jun-05","SE","Garphyttan, Sweden",2021,"qualifier",0
78326,"Skogs-Ultra Storstenshöjden SUS","100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://storstenshojden50milesoch100miles.wordpress.com/","161.00",10700,true,"27948.skogs-ultrastorstenshojdensus100miles.2021","2021-Jun-05","SE","Garphyttan, Sweden",2021,"qualifier",0
72410,"The Alpaca Race","106k","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://alpacarace.wordpress.com/","106.00",6200,true,"29906.thealpacarace106k.2021","2021-Jun-05","SE","Göteborg, Sweden",2021,"qualifier",0
72411,"The Alpaca Race","53k","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://alpacarace.wordpress.com/","53.00",3100,true,"29907.thealpacarace53k.2021","2021-Jun-06","SE","Göteborg, Sweden",2021,"qualifier",0
72412,"The Alpaca Race","The Alpaca Race 32k","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://alpacarace.wordpress.com/","32.00",1860,true,"29908.thealpacaracethealpacarace32k.2021","2021-Jun-06","SE","Göteborg, Sweden",2021,"qualifier",0
76746,"EcoTrail Stockholm","45 Km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://stockholm.ecotrail.com/","45.00",1260,true,"9017.ecotrailstockholm45km.2021","2021-Jun-12","SE","Stockholm, Sweden",2021,"qualifier",0
76744,"EcoTrail Stockholm","80 Km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://stockholm.ecotrail.com/","80.00",2100,true,"9019.ecotrailstockholm80km.2021","2021-Jun-13","SE","Stockholm, Sweden",2021,"qualifier",0
69425,"SWEDISH ALPINE ULTRA®","Ultra Double 19","100m","#f42525",true,"/Common/categories/qualifiers100M","http://www.swedishalpineultra.se","210.70",2860,false,"16877.swedishalpineultra-ultradouble19.2021","2021-Jul-16","SE","Abisko, Sweden",2021,"qualifier",0
69424,"SWEDISH ALPINE ULTRA®","SWEDISH ALPINE ULTRA®","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://www.swedishalpineultra.se","106.00",3840,true,"2281.swedishalpineultra-swedishalpineultra-.2021","2021-Jul-17","SE","Nikkaluokta, Sweden",2021,"qualifier",0
69019,"The Gax 100 miles","100 miles Tuesday","100m","#f42525",true,"/Common/categories/qualifiers100M","http://www.gax100.com","162.30",1500,true,"28151.thegax100miles100milestuesday.2021","2021-Jul-20","SE","Ystad, Sweden",2021,"qualifier",0
66475,"Trans Scania","Trans Scania","100m","#f42525",true,"/Common/categories/qualifiers100M","http://www.transscania.se","234.20",4300,true,"759.transscaniatransscania.2021","2021-Aug-06","SE","Bjärred, Sweden",2021,"qualifier",0
69947,"Bunketorp Backyard Ultra Trail","BBUT - 35 loops","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.bbut.org","238.80",4520,false,"25255.bunketorpbackyardultratrailbbut-35loops.2021","2021-Aug-07","SE","Lindome, Sweden",2021,"qualifier",0
69943,"Bunketorp Backyard Ultra Trail","BBUT - 15 loops","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.bbut.org","102.30",1940,true,"25245.bunketorpbackyardultratrailbbut-15loops.2021","2021-Aug-07","SE","LINDOME, Sweden",2021,"qualifier",0
73147,"Vasaloppet Ultravasan","Ultravasan 90","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.vasaloppet.se","90.30",880,true,"1904.vasaloppetultravasanultravasan90.2021","2021-Aug-21","SE","Sälen, Sweden",2021,"qualifier",0
73148,"Vasaloppet Ultravasan","Ultravasan 45","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.vasaloppet.se","44.30",580,true,"3022.vasaloppetultravasanultravasan45.2021","2021-Aug-21","SE","Oxberg, Sweden",2021,"qualifier",0
72640,"Salming Idre Fjällmaraton","Järvens Stig 84 km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://idrefjallmaraton.se","84.00",2100,true,"22729.salmingidrefjallmaratonjarvensstig84km.2021","2021-Aug-28","SE","Lövåsen, Sweden",2021,"qualifier",0
72641,"Salming Idre Fjällmaraton","Renens Stig 45 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://idrefjallmaraton.se","45.00",1400,true,"13015.salmingidrefjallmaratonrenensstig45km.2021","2021-Aug-28","SE","Idre, Sweden",2021,"qualifier",0
72579,"Mossarun","Mossarun 24h 100km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","101.00",2060,true,"30034.mossarunmossarun24h100km.2021","2021-Sep-18","SE","Lindås, Sweden",2021,"qualifier",0
68146,"UKA PAIN","UKA PAIN 50 K","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://swedenrunners.se/uka-pain-ultra/","51.20",1210,true,"18867.ukapainukapain50k.2021","2021-Oct-02","SE","Älvdalen, Sweden",2021,"qualifier",0
68147,"UKA PAIN","UKA PAIN 100 K","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://swedenrunners.se/uka-pain-ultra/","102.40",2410,true,"18865.ukapainukapain100k.2021","2021-Oct-02","SE","Älvdalen, Sweden",2021,"qualifier",0
72438,"Täby Extreme Challenge","TEC 200 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://new.tec100.se","321.50",3220,true,"7419.tabyextremechallengetec200miles.2021","2021-Oct-15","SE","Täby, Sweden",2021,"qualifier",0
72437,"Täby Extreme Challenge","TEC 50 Miles","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://new.tec100.se","80.30",810,true,"666.tabyextremechallengetec50miles.2021","2021-Oct-16","SE","Täby, Sweden",2021,"qualifier",0
72436,"Täby Extreme Challenge","TEC 100 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://new.tec100.se","160.70",1610,true,"668.tabyextremechallengetec100miles.2021","2021-Oct-16","SE","Täby, Sweden",2021,"qualifier",0
72439,"Täby Extreme Challenge","TEC 50 Miles Night","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://new.tec100.se","80.30",810,true,"4170.tabyextremechallengetec50milesnight.2021","2021-Oct-17","SE","Täby, Sweden",2021,"qualifier",0
74057,"Kullamannen","SIBIRIEN ULTRA 50KM","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://kullamannen.utmb.world","59.00",1359,true,"30675.kullamannensibirienultra50km.2021","2021-Nov-05","SE","Ängelhom, Sweden",2021,"qualifier",0
73820,"Kullamannen","Kullamannen 100 Miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://kullamannen.utmb.world","171.00",2755,true,"10675.kullamannenkullamannen100miles.2021","2021-Nov-05","SE","Båstad, Sweden",2021,"qualifier",0
