"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"1843259.magnus.linde","Magnus LINDE","12:42:11",1,"Sweden","SE",,"35-39","H"
"1243141.christian.malmstrom","Christian MALMSTROM","14:21:02",2,"Sweden","SE",,"40-44","H"
"2271131.martin.lindahl","Martin LINDAHL","15:42:13",3,"Sweden","SE",,"35-39","H"
"986679.anders.ahlgren","Anders AHLGREN","16:13:20",4,"Sweden","SE",,"55-59","H"
"2439841.jonas.eklof","Jonas EKLÖF","16:13:21",5,"Sweden","SE",,"45-49","H"
"1016485.jonas.schimmele","Jonas SCHIMMELE","16:30:13",6,"Sweden","SE",,"45-49","H"
"3189877.johan.olsson","Johan OLSSON","16:45:30",7,"Sweden","SE",,"20-34","H"
"662047.christian.vartia","Christian VARTIA","17:14:42",8,"Sweden","SE",,"40-44","H"
"3789499.johan.andersson","Johan ANDERSSON","18:16:01",9,"Sweden","SE",,"20-34","H"
"1520453.oscar.cortes","Oscar CORTES","18:57:10",10,"Sweden","SE",,"45-49","H"
"3585621.leonardo.urbina","Leonardo URBINA","18:57:11",11,"Sweden","SE",,"35-39","H"
"1779555.david.elebring","David ELEBRING","21:59:30",12,"Sweden","SE",,"35-39","H"
"696345.line.kolbe","Line KOLBE","22:16:16",13,"Denmark","DK",,"40-44","F"
"551758.magnus.johansson","Magnus JOHANSSON",,,"Sweden","SE",,"45-49","H"
"1960331.tanja.hakansson","Tanja HÅKANSSON",,,"Sweden","SE",,"20-34","F"
"1111089.daniel.baath","Daniel BÅÅTH",,,"Sweden","SE",,"40-44","H"
"3923431.bjorn.tornqvist","Björn TÖRNQVIST",,,"Sweden","SE",,"40-44","H"
"1209539.john.nordfjall","John NORDFJÄLL",,,"Sweden","SE",,"45-49","H"
"662056.michael.fredriksson","Michael FREDRIKSSON",,,"Sweden","SE",,"50-54","H"
"2153541.sergiu.rus","Sergiu RUS","23:00:00",1,"Romania","RO",,"40-44","H"
"665357.pal.andersson","Pål ANDERSSON","23:15:00",2,"Sweden","SE",,"40-44","H"
"3377591.josefina.persson","Josefina PERSSON","23:45:00",3,"Sweden","SE",,"20-34","F"
"4011620.astrid.thomas","Astrid THOMAS",,,"Sweden","SE",,"20-34","F"
"4011621.stefan.burman","Stefan BURMAN",,,"Sweden","SE",,"20-34","H"
"4011622.christian.thomas","Christian THOMAS",,,"Sweden","SE",,"20-34","H"
"3371397.katharina.lang","Katharina LANG",,,"Germany","DE",,"20-34","F"
"3404325.kristoffer.jagestedt","Kristoffer JAGESTEDT",,,"Sweden","SE",,"35-39","H"
"2292039.johan.palmer","Johan PALMÈR",,,"Sweden","SE",,"35-39","H"
"673043.jens.larsson","Jens LARSSON",,,"Sweden","SE",,"45-49","H"
"2986837.rasyad.binmohdyosof","Rasyad BIN MOHD YOSOF",,,"Malaysia","MY",,"20-34","H"
"2519211.anna.andersson","Anna ANDERSSON",,,"Sweden","SE",,"40-44","F"
"1135847.niklas.lundgren","Niklas LUNDGREN",,,"Sweden","SE",,"35-39","H"
"2153561.carl.smith","Carl SMITH",,,"Sweden","SE",,"35-39","H"
"986679.anders.ahlgren","Anders AHLGREN",,,"Sweden","SE",,"55-59","H"
"2576705.niklas.hegfalk","Niklas HEGFALK",,,"Sweden","SE",,"35-39","H"
"3371403.marc.oliva","Marc OLIVA",,,"Spain","ES",,"20-34","H"
"3934403.lluc.hevia","Lluc HEVIA",,,"Spain","ES",,"20-34","H"
"4011619.axel.salomonsson","Axel SALOMONSSON",,,"Sweden","SE",,"20-34","H"
"3461335.erik.ahlrot","Erik AHLROT",,,"Sweden","SE",,"45-49","H"
"1135847.niklas.lundgren","Niklas LUNDGREN","19:00:00",1,"Sweden","SE",,"35-39","H"
"3461335.erik.ahlrot","Erik AHLROT","19:30:00",2,"Sweden","SE",,"45-49","H"
"2153561.carl.smith","Carl SMITH","19:30:00",3,"Sweden","SE",,"35-39","H"
"2519211.anna.andersson","Anna ANDERSSON","20:00:00",4,"Sweden","SE",,"40-44","F"
"986679.anders.ahlgren","Anders AHLGREN","23:00:00",5,"Sweden","SE",,"55-59","H"
"2576705.niklas.hegfalk","Niklas HEGFALK","23:00:00",6,"Sweden","SE",,"35-39","H"
"4011619.axel.salomonsson","Axel SALOMONSSON","23:30:00",7,"Sweden","SE",,"20-34","H"
"3371403.marc.oliva","Marc OLIVA","23:50:00",8,"Spain","ES",,"20-34","H"
"3934403.lluc.hevia","Lluc HEVIA","23:50:00",9,"Spain","ES",,"20-34","H"
"4129091.johan.nordin","Johan NORDIN","15:31:34",1,"Sweden","SE",,"35-39","H"
"1537951.martin.anderberg","Martin ANDERBERG","15:31:34",1,"Sweden","SE",,"40-44","H"
"1355691.joel.christiansson","Joel CHRISTIANSSON","16:08:05",3,"Sweden","SE",,"20-34","H"
"3638035.jenny.wallner","Jenny WALLNER","16:09:47",4,"Sweden","SE",,"40-44","F"
"3293829.andreas.kyrk","Andreas KYRK","16:32:45",5,"Sweden","SE",,"35-39","H"
"2331075.dragos.piscan","Dragos PISCAN","16:46:52",6,"Romania","RO",,"35-39","H"
"4129092.martin.bergman","Martin BERGMAN","16:49:26",7,"Sweden","SE",,"35-39","H"
"2257829.kennie.pussinen","Kennie PUSSINEN","35:16:00",1,"Sweden","SE",,"20-34","H"
"1630559.filip.andersson","Filip ANDERSSON","47:32:48",2,"Sweden","SE",,"20-34","H"
"19155.magnus.hjelmer","Magnus HJELMER","48:49:05",3,"Sweden","SE",,"40-44","H"
"2439805.niklas.yjord","Niklas YJORD","19:51:05",1,"Sweden","SE",,"40-44","H"
"4648853.david.svensson","David SVENSSON","20:23:57",2,"Sweden","SE",,"20-34","H"
"2439841.jonas.eklof","Jonas EKLÖF","22:14:00",3,"Sweden","SE",,"45-49","H"
"2210799.johan.johansson","Johan JOHANSSON","23:57:49",4,"Sweden","SE",,"40-44","H"
"2194053.joakim.nordfeldt","Joakim NORDFELDT","25:28:36",5,"Sweden","SE",,"40-44","H"
"4121595.mats.johannesson","Mats JOHANNESSON","27:08:00",6,"Sweden","SE",,"40-44","H"
"1619803.peter.hallden","Peter HALLDÉN","29:50:00",7,"Sweden","SE",,"35-39","H"
"2439901.bjorn.serving","Björn SERVING","31:08:32",8,"Sweden","SE",,"50-54","H"
"1135795.mikael.svalstrand","Mikael SVALSTRAND","31:19:57",9,"Sweden","SE",,"55-59","H"
